ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
lote1237-1-112,lote1237-1,to kill; to bite,hun,hun-ɛ,,Barlow2024
lote1237-1-113,lote1237-1,"animal, meat",huros,,also [uros],Barlow2024
lote1237-1-114,lote1237-1,to blow,hurus,hurus-ia,"cf. /hɛkɛ/ ‘to blow (a fire); to raise (something)’, /haka/ ‘to blow (of the wind); to climb, to ascend, to go up; to grow’, /iu/ ‘to blow; to call (for someone), to shout’",Barlow2024
lote1237-1-115,lote1237-1,white,husu,,,Barlow2024
lote1237-1-116,lote1237-1,"3sg pronoun (he, him, she, her, it)",i,,"same form as ‘to walk’, ‘leaf; hair’, ‘nose’",Barlow2024
lote1237-1-117,lote1237-1,leaf; hair (of the head),i-,"i-na (3sg), i-ria (3pl)","same form as ‘to walk’, ‘nose’, and the 3sg pronoun; possibly a metaphorical extension of /i-/ ‘nose’; cf. /pulpul-/ ‘hair (body hair); feather’",Barlow2024
lote1237-1-118,lote1237-1,nose,i-,"i-k (1sg), i-m (2sg), i-na (3sg)","same form as ‘to walk’, ‘leaf; hair’, and the 3sg pronoun",Barlow2024
lote1237-1-119,lote1237-1,to walk,i,,,Barlow2024
lote1237-1-120,lote1237-1,to come,i at,,‘walk come’,Barlow2024
lote1237-1-121,lote1237-1,transitive suffix (TR),-ia,,verbal suffix; also /-a/ and /-ɛ/,Barlow2024
lote1237-1-122,lote1237-1,because,iaŋe,,,Barlow2024
lote1237-1-123,lote1237-1,"1sg pronoun (I, me)",iau,,,Barlow2024
lote1237-1-124,lote1237-1,man’s brother-in-law,iɛ-,"iɛ-k (1sg), iɛ-m (2sg), iɛ-nɛ (3sg)",,Barlow2024
lote1237-1-125,lote1237-1,1sg possessive suffix (my) (1SG.POSS),-ik,,allomorph of /-k/ for liquid-final stems,Barlow2024
lote1237-1-126,lote1237-1,snake,ilimo,,,Barlow2024
lote1237-1-127,lote1237-1,bamboo sp. (wild bamboo),ilipa,,"cf. /iu/, a different sp.",Barlow2024
lote1237-1-128,lote1237-1,"2sg possessive suffix (thy, your) (2SG.POSS)",-im,,allomorph of /-m/ for liquid-final stems,Barlow2024
lote1237-1-129,lote1237-1,"1pl.excl pronoun (we, us)",imɛm,,,Barlow2024
lote1237-1-130,lote1237-1,"1tr.excl pronoun (we three, us three)",imɛm mol,,‘1pl.excl three’,Barlow2024
lote1237-1-131,lote1237-1,"1du.excl pronoun (we two, us two)",imɛm nai,,‘1pl.excl two’,Barlow2024
lote1237-1-132,lote1237-1,"2pl pronoun (ye, you, y’all)",imo,,also used for 2sg taboo relations,Barlow2024
lote1237-1-133,lote1237-1,"2tr pronoun (ye three, you three, y’all three)",imo mol,,‘2pl three’,Barlow2024
lote1237-1-134,lote1237-1,"2du pronoun (ye two, you two, y’all two)",imo nai,,‘2pl two’,Barlow2024
lote1237-1-135,lote1237-1,to drink,in,in-ia,,Barlow2024
lote1237-1-136,lote1237-1,"smelly, stinky",ina,ina-ŋana,,Barlow2024
lote1237-1-137,lote1237-1,"pain; painful; to hurt, to be in pain",inin,,,Barlow2024
lote1237-1-138,lote1237-1,spear (generic),io,,"cf. specific spear types /kaliŋo/, /pakpaka/, /raliŋ/",Barlow2024
lote1237-1-139,lote1237-1,"2sg pronoun (thou, thee, you)",ioŋ,,,Barlow2024
lote1237-1-140,lote1237-1,"3pl pronoun (they, them)",iri,,also used for 3sg taboo relations,Barlow2024
lote1237-1-141,lote1237-1,"3tr pronoun (they three, them three)",iri mol,,‘3pl three’,Barlow2024
lote1237-1-142,lote1237-1,"3du pronoun (they two, them two)",iri nai,,‘3pl two’,Barlow2024
lote1237-1-143,lote1237-1,"highlands, mountain",it,,cf. /hɛŋɛnɛ/ ‘mountain; temple (of the head)’,Barlow2024
lote1237-1-144,lote1237-1,"1pl.incl pronoun (we, us)",ita,,,Barlow2024
lote1237-1-145,lote1237-1,"1tr.incl pronoun (we three, us three)",ita mol,,‘1pl.incl three’,Barlow2024
lote1237-1-146,lote1237-1,"1du.incl pronoun (we two, us two)",ita nai,,‘1pl.incl two’,Barlow2024
lote1237-1-147,lote1237-1,who?,itei,,,Barlow2024
lote1237-1-148,lote1237-1,star,itox,,,Barlow2024
lote1237-1-149,lote1237-1,bamboo sp.,iu,,"same form as ‘to blow; to call (for someone), to shout’; cf. /ilipa/, a different sp.",Barlow2024
lote1237-1-150,lote1237-1,"to blow; to call (for someone), to shout",iu,iu-a,"same form as ‘bamboo sp.’; cf. /hurus/ ‘to blow’, /hɛkɛ/ ‘to blow (a fire); to raise (something)’, /haka/ ‘to blow (of the wind); to climb, to ascend, to go up; to grow’",Barlow2024
lote1237-1-151,lote1237-1,"ground, earth, soil",ix,,,Barlow2024
lote1237-1-152,lote1237-1,mainland,ix una,,‘ground full’,Barlow2024
lote1237-1-153,lote1237-1,1sg possessive suffix (my) (1SG.POSS),-k,,"allomorphs: /-ik/, /-uk/",Barlow2024
lote1237-1-154,lote1237-1,heart,kakaho-,"kakaho-k (1sg), kakaho-m (2sg), kakaho-m (3sg)",,Barlow2024
lote1237-1-155,lote1237-1,knife,kakop,,,Barlow2024
lote1237-1-156,lote1237-1,neck,kal-,"kal-ik (1sg), kal-im (2sg), kan-na (3sg)",,Barlow2024
lote1237-1-157,lote1237-1,"to tie, to fasten",kale,,"cf. /kale hit/ ‘to tie up’, /hit/ ‘to block, to tie’, /tom/ ‘to fix, to tie’, /tom hit/ ‘to tie up’",Barlow2024
